"""ANR""","""EBAW""",51.1893997192,4.46027994156,"""Antwerp International Airport (Deurne)"""
\N,"""EBBE""",50.75859832763672,4.768330097198486,"""Beauvechain Air Base"""
\N,"""EBBL""",51.168301,5.47,"""Kleine Brogel Air Base"""
"""BRU""","""EBBR""",50.901401519800004,4.48443984985,"""Brussels Airport"""
\N,"""EBBX""",49.891700744628906,5.2238898277282715,"""Jehonville Air Base"""
"""CRL""","""EBCI""",50.459202,4.45382,"""Brussels South Charleroi Airport"""
\N,"""EBCV""",50.575801849365234,3.8310000896453857,"""Chièvres Air Base"""
\N,"""EBFN""",51.090301513671875,2.652780055999756,"""Koksijde Air Base"""
\N,"""EBFS""",50.2433013916,4.64583015442,"""Florennes Air Base"""
"""KJK""","""EBKT""",50.817199707,3.20472002029,"""Wevelgem Airport"""
"""LGG""","""EBLG""",50.63740158081055,5.443220138549805,"""Liège Airport"""
"""OST""","""EBOS""",51.198898315399994,2.8622200489,"""Ostend-Bruges International Airport"""
\N,"""EBSL""",50.9474983215332,5.590559959411621,"""Zutendaal Air Base"""
\N,"""EBST""",50.791901,5.20167,"""Brustem Airfield Sint Truiden"""
\N,"""EBSU""",50.034400939941406,5.440810203552246,"""Saint Hubert Air Base"""
\N,"""EBUL""",51.14419937133789,3.475559949874878,"""Ursel Air Base"""
\N,"""EBWE""",51.394798278808594,4.9601898193359375,"""Weelde Air Base"""
"""OBL""","""EBZR""",51.264702,4.75333,"""Zoersel (Oostmalle) Airfield"""
